author,commercial_potential,num_books,total_ratings,avg_rating,strategy_type,crown_size,success_tier,tier_color
J.K. Rowling,66.9,5,312,4.29,Saga Epic,100,Elite,#FFD700
Stephen King,55.9,13,106,4.06,Volume Beast,85,Elite,#FFD700
Nicholas Sparks,43.0,10,111,3.87,Emotional Pure,70,High,#FF6B6B
John Grisham,39.0,14,70,3.98,Thriller Machine,65,High,#FF6B6B
Jodi Picoult,30.0,10,76,3.95,Drama Focus,55,Medium,#4ECDC4
James Patterson,29.6,12,64,3.85,Volume Beast,54,Medium,#4ECDC4
Terry Pratchett,27.3,15,46,3.96,Fantasy Humor,52,Medium,#4ECDC4
J.R.R. Tolkien,21.1,3,166,4.23,Fantasy Cult,48,Medium,#4ECDC4
Agatha Christie,20.6,9,53,4.31,Classic Timeless,47,Quality,#9C27B0
Laurell K. Hamilton,18.8,14,37,3.62,Urban Fantasy,42,Standard,#95E1D3
Roald Dahl,18.3,7,62,4.21,Children's Classic,41,Quality,#9C27B0
Sophie Kinsella,15.6,7,57,3.90,Romantic Comedy,38,Standard,#95E1D3
